epoch,train_loss,train_recon,train_kld,val_fid
1,767.7900777467539,737.6963010976012,3.7617218869567757,4.150364398956299
2,625.7503206494829,562.6717155349087,7.884825444557298,4.028396129608154
3,549.790322317204,463.3353830256932,10.806867303982587,3.844189405441284
4,504.14349838041926,411.9466337821853,11.524608128507372,3.7279839515686035
5,484.0429068551937,389.8121329294124,11.77884691533908,3.779090166091919
6,473.88692764497137,378.84949074328784,11.879679384365888,3.5951499938964844
7,468.8326501980634,372.18221702038403,12.081304080049756,3.5719916820526123
8,463.35698904118067,365.0782548071633,12.284841927004532,3.6641018390655518
9,460.41668099416813,360.20050822513207,12.527021569265447,3.6610405445098877
10,459.0103875818387,358.20115081357284,12.60115423336835,3.6923062801361084
11,457.91799367985254,355.9682273327465,12.743720766524193,3.6792523860931396
12,455.86850792253523,354.04477487483496,12.727966402617978,3.670013904571533
13,454.7314435931998,351.3497430505887,12.92271246037013,3.608341693878174
14,454.44603976397445,350.54618040272885,12.987482594772123,3.6630542278289795
15,452.8158075037137,348.9446651834837,12.983892561684192,3.6847035884857178
16,453.4630943620709,348.91047818895794,13.069076927614883,3.710581064224243
17,451.50124864175285,346.1191522302762,13.17276218575491,3.55438232421875
18,451.2360435808209,346.0570042569872,13.147379808022942,3.5963478088378906
19,450.94036865234375,344.9158217739051,13.253068426964989,3.636192798614502
20,450.45818318111793,343.9930811062665,13.308137719060333,3.674915075302124
21,450.1252273774483,343.2156479526574,13.363697253482442,3.6993181705474854
22,449.8930062307438,342.2864981637874,13.450813588961749,3.7060651779174805
23,448.4625304316131,341.3223851163622,13.39251811067823,3.744539499282837
24,448.6850611727003,340.96589295293245,13.464895893150652,3.7046501636505127
25,448.3609627737126,340.60992130763094,13.468880089235977,3.70814847946167
26,447.9203057087643,339.631894393706,13.536051481542453,3.709073305130005
27,446.9938449053697,338.74332997496697,13.531314433460505,3.6248083114624023
28,448.3228274063325,339.35699634820645,13.620729150906415,3.60906720161438
29,446.7961485956756,337.7632235674791,13.62911540018001,3.7890563011169434
30,446.63721734705103,337.07035634215447,13.695857652476136,3.5255727767944336
