config,config_label_full,lr,z,bs,n_seeds,seeds,fid_mean,fid_std,fid_min,fid_max,source_folders,best_seed,best_epoch,best_seed_fid,best_source_folder,best_source_file,config_display_label,seed_42_fid,seed_142_fid,seed_242_fid,fid_mean_std,seed_fids,seed_header
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,3,"42, 142, 242",125.96,7.117703281255831,121.03,134.12,"lr_experiments\lr=0.001_z=100_bs=64_seed=142, lr_experiments\lr=1e-05_z=100_bs=64_seed=242",242,97,121.03,lr_experiments\lr=1e-05_z=100_bs=64_seed=242,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\training (1).log,LR=0.001,122.73,134.12,121.03,125.96 ± 7.12,122.73 / 134.12 / 121.03,42 / 142 / 242
lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",0.0001,100,64,3,"42, 142, 242",139.36666666666667,5.597368429300805,133.18,144.08,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,142,90,133.18,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,LR=0.0001,140.84,133.18,144.08,139.37 ± 5.60,140.84 / 133.18 / 144.08,42 / 142 / 242
lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",1e-5,100,64,3,"42, 142, 242",246.22,7.5959923643984855,240.97,254.93,"lr_experiments\lr=1e-04_z=100_bs=64_seed=142, lr_experiments\lr=1e-05_z=100_bs=64_seed=242",142,98,240.97,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,LR=1e-5,254.93,240.97,242.76,246.22 ± 7.60,254.93 / 240.97 / 242.76,42 / 142 / 242
