run_id_raw,run_id,lr_raw,lr,z,bs,seed,config,config_label_full,image_epoch,image_path,image_folder
lr=0.001_z=100_bs=64_seed=142,lr=0.001_z=100_bs=64_seed=142,0.001,0.001,100,64,142,lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",97,lr_experiments\lr=0.001_z=100_bs=64_seed=142\samples_lr=0.001_z=100_bs=64_seed=142_epoch=97.png,lr_experiments\lr=0.001_z=100_bs=64_seed=142
lr=0.0001_z=100_bs=64_seed=142,lr=0.0001_z=100_bs=64_seed=142,0.0001,0.0001,100,64,142,lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",90,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\samples_lr=0.0001_z=100_bs=64_seed=142_epoch=90.png,lr_experiments\lr=1e-04_z=100_bs=64_seed=142
lr=0.0001_z=100_bs=64_seed=242,lr=0.0001_z=100_bs=64_seed=242,0.0001,0.0001,100,64,242,lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",87,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\samples_lr=0.0001_z=100_bs=64_seed=242_epoch=87.png,lr_experiments\lr=1e-04_z=100_bs=64_seed=142
lr=0.0001_z=100_bs=64_seed=42,lr=0.0001_z=100_bs=64_seed=42,0.0001,0.0001,100,64,42,lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",87,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\samples_lr=0.0001_z=100_bs=64_seed=42_epoch=87.png,lr_experiments\lr=1e-04_z=100_bs=64_seed=142
lr=1e-05_z=100_bs=64_seed=142,lr=1e-5_z=100_bs=64_seed=142,1e-05,1e-5,100,64,142,lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",98,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\samples_lr=1e-05_z=100_bs=64_seed=142_epoch=98.png,lr_experiments\lr=1e-04_z=100_bs=64_seed=142
lr=0.001_z=100_bs=64_seed=242,lr=0.001_z=100_bs=64_seed=242,0.001,0.001,100,64,242,lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",97,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\samples_lr=0.001_z=100_bs=64_seed=242_epoch=97.png,lr_experiments\lr=1e-05_z=100_bs=64_seed=242
lr=0.001_z=100_bs=64_seed=42,lr=0.001_z=100_bs=64_seed=42,0.001,0.001,100,64,42,lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",98,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\samples_lr=0.001_z=100_bs=64_seed=42_epoch=98.png,lr_experiments\lr=1e-05_z=100_bs=64_seed=242
lr=1e-05_z=100_bs=64_seed=242,lr=1e-5_z=100_bs=64_seed=242,1e-05,1e-5,100,64,242,lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",99,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\samples_lr=1e-05_z=100_bs=64_seed=242_epoch=99.png,lr_experiments\lr=1e-05_z=100_bs=64_seed=242
lr=1e-05_z=100_bs=64_seed=42,lr=1e-5_z=100_bs=64_seed=42,1e-05,1e-5,100,64,42,lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",94,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\samples_lr=1e-05_z=100_bs=64_seed=42_epoch=94.png,lr_experiments\lr=1e-05_z=100_bs=64_seed=242
