config_display_label,fid_mean_std,seed_header,seed_fids,fid_mean,fid_std,best_seed,best_epoch,best_seed_fid,seed_42_fid,seed_142_fid,seed_242_fid
LR=0.001,125.96 ± 7.12,42 / 142 / 242,122.73 / 134.12 / 121.03,125.96,7.117703281255831,242,97,121.03,122.73,134.12,121.03
LR=0.0001,139.37 ± 5.60,42 / 142 / 242,140.84 / 133.18 / 144.08,139.36666666666667,5.597368429300805,142,90,133.18,140.84,133.18,144.08
LR=1e-5,246.22 ± 7.60,42 / 142 / 242,254.93 / 240.97 / 242.76,246.22,7.5959923643984855,142,98,240.97,254.93,240.97,242.76
