config,config_label_full,lr,z,bs,seed,best_epoch,best_fid,timestamp,source_folder,source_file,line_no,best_source,run_id_raw,run_id,lr_raw,config_display_label
lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",0.0001,100,64,42,87,140.84,2026-06-01 20:37:27.455,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,397,minimum epoch FID,,,,LR=0.0001
lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",0.0001,100,64,142,90,133.18,2026-06-01 15:09:44.877,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,128,minimum epoch FID,,,,LR=0.0001
lr=0.0001_z=100_bs=64,"LR=0.0001, z=100, batch size=64",0.0001,100,64,242,87,144.08,2026-06-01 17:55:03.020,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,261,minimum epoch FID,,,,LR=0.0001
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,42,98,122.73,2026-06-01 18:28:57.714,lr_experiments\lr=1e-05_z=100_bs=64_seed=242,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\training (1).log,267,minimum epoch FID,,,,LR=0.001
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,142,73,134.12,2026-06-01 14:45:51.435,lr_experiments\lr=0.001_z=100_bs=64_seed=142,lr_experiments\lr=0.001_z=100_bs=64_seed=142\training.log,102,minimum epoch FID,,,,LR=0.001
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,242,97,121.03,2026-06-01 16:20:08.798,lr_experiments\lr=1e-05_z=100_bs=64_seed=242,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\training (1).log,133,minimum epoch FID,,,,LR=0.001
lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",1e-5,100,64,42,94,254.93,2026-06-05 10:05:01.367,lr_experiments\lr=1e-05_z=100_bs=64_seed=242,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\training (1).log,532,minimum epoch FID,,,,LR=1e-5
lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",1e-5,100,64,142,98,240.97,2026-06-01 23:35:26.928,lr_experiments\lr=1e-04_z=100_bs=64_seed=142,lr_experiments\lr=1e-04_z=100_bs=64_seed=142\training.log,522,minimum epoch FID,,,,LR=1e-5
lr=1e-5_z=100_bs=64,"LR=1e-5, z=100, batch size=64",1e-5,100,64,242,99,242.76,2026-06-05 07:24:22.031,lr_experiments\lr=1e-05_z=100_bs=64_seed=242,lr_experiments\lr=1e-05_z=100_bs=64_seed=242\training (1).log,396,minimum epoch FID,,,,LR=1e-5
