run_id_raw,run_id,lr_raw,lr,z,bs,seed,config,config_label_full,epoch,fid,timestamp,source_folder,source_file,line_no,config_display_label
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",22,248.63,2026-06-13 07:52:54.097,128,128\training (3).log,32,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",23,231.05,2026-06-13 07:53:38.025,128,128\training (3).log,34,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",24,222.52,2026-06-13 07:54:41.309,128,128\training (3).log,36,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",25,232.82,2026-06-13 07:55:25.885,128,128\training (3).log,37,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",26,213.42,2026-06-13 07:56:11.006,128,128\training (3).log,39,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",27,211.85,2026-06-13 07:56:56.360,128,128\training (3).log,41,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",28,205.58,2026-06-13 07:57:41.238,128,128\training (3).log,43,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",29,200.91,2026-06-13 07:58:44.718,128,128\training (3).log,45,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",30,197.78,2026-06-13 07:59:29.132,128,128\training (3).log,47,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",31,199.77,2026-06-13 08:00:32.346,128,128\training (3).log,48,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",32,192.78,2026-06-13 08:01:17.090,128,128\training (3).log,50,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",33,183.47,2026-06-13 08:02:02.474,128,128\training (3).log,52,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",34,183.67,2026-06-13 08:02:47.148,128,128\training (3).log,53,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",35,185.98,2026-06-13 08:03:31.114,128,128\training (3).log,54,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",36,183.84,2026-06-13 08:04:35.483,128,128\training (3).log,55,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",37,187.54,2026-06-13 08:05:19.178,128,128\training (3).log,56,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",38,171.87,2026-06-13 08:06:22.950,128,128\training (3).log,58,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",39,177.17,2026-06-13 08:07:07.810,128,128\training (3).log,59,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",40,178.98,2026-06-13 08:08:11.168,128,128\training (3).log,60,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",41,169.01,2026-06-13 08:08:55.219,128,128\training (3).log,62,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",42,169.62,2026-06-13 08:09:39.656,128,128\training (3).log,63,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",43,169.33,2026-06-13 08:10:43.127,128,128\training (3).log,64,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",44,166.54,2026-06-13 08:11:27.401,128,128\training (3).log,66,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",45,180.65,2026-06-13 08:12:30.145,128,128\training (3).log,67,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",46,161.34,2026-06-13 08:13:13.900,128,128\training (3).log,69,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",47,170.71,2026-06-13 08:14:17.105,128,128\training (3).log,70,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",48,168.12,2026-06-13 08:15:00.538,128,128\training (3).log,71,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",49,171.36,2026-06-13 08:16:03.811,128,128\training (3).log,72,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",50,157.97,2026-06-13 08:16:47.933,128,128\training (3).log,74,batch size=128
lr=0.001_z=64_bs=128_seed=42,lr=0.001_z=64_bs=128_seed=42,0.001,0.001,64,128,42,lr=0.001_z=64_bs=128,"LR=0.001, z=64, batch size=128",51,160.97,2026-06-13 08:17:32.112,128,128\training (3).log,75,batch size=128
