config_display_label,fid_mean_std,seed_header,seed_fids,fid_mean,fid_std,best_seed,best_epoch,best_seed_fid,seed_42_fid,seed_142_fid,seed_242_fid
batch size=32,110.53 ± 1.89,42 / 142 / 242,108.56 / 112.33 / 110.71,110.53333333333335,1.8911989142692858,42,77,108.56,108.56,112.33,110.71
batch size=64,123.29 ± 8.43,42 / 142 / 242,125.95 / 113.85 / 130.06,123.28666666666668,8.426804455624529,142,99,113.85,125.95,113.85,130.06
batch size=128,139.78 ± 3.89,42 / 142 / 242,144.21 / 138.18 / 136.95,139.78,3.8854729441858242,242,84,136.95,144.21,138.18,136.95
