epoch,train_loss,train_recon,train_kld,val_fid
1,717.0267248019367,702.4150743081536,14.611652874292702,4.678036212921143
2,509.2367893272722,478.48680136237346,30.74998664855957,3.9276232719421387
3,389.19437720070425,348.1552841831261,41.03909253402495,3.629838466644287
4,348.32280634490536,305.9250733281525,42.397730330346334,3.616767644882202
5,327.09572977415274,282.76919491190307,44.32653400259958,3.6478190422058105
6,313.84263030576034,268.574257434254,45.26837174321564,3.5512900352478027
7,303.4191941812005,257.41042252661475,46.00877294406085,3.45672869682312
8,295.21625228666926,248.28021068304358,46.93604112007249,3.450402021408081
9,289.54191138039175,241.40560096418355,48.13630939537371,3.4714338779449463
10,284.933974574989,236.36597152495048,48.568002405300945,3.1135036945343018
11,276.4299520573146,226.01105230626925,50.418898730210856,2.521602153778076
12,265.1651594135123,213.58533037212533,51.57982941748391,2.578453302383423
13,259.5136778925506,206.74291884731238,52.77075893778196,2.5866100788116455
14,257.1527520837918,203.5628309652839,53.58992138714858,2.5587754249572754
15,253.02476522956096,198.64114143479037,54.38362304257675,2.5016932487487793
16,249.9021112146512,194.8818378717127,55.02027377276353,2.5226314067840576
17,248.04311832911532,192.42720289633309,55.61591527159785,2.489286184310913
18,246.51218231630997,190.48644288828675,56.025740610042085,2.5117557048797607
19,245.4404060471226,188.92546941193058,56.514936688920145,2.4340553283691406
20,243.11925517337423,186.0441806417116,57.075075337584586,2.492063045501709
21,241.48281666930293,184.19191967601506,57.29089758429729,2.484264373779297
22,240.25612737091495,182.4605068153059,57.795621468987264,2.475358247756958
23,239.55589229959838,181.58537614849251,57.97051582873707,2.502995252609253
24,237.67960432885397,179.19037853831975,58.48922632781552,2.3677263259887695
25,237.57015174543355,178.93070811956702,58.639443733322786,2.547668933868408
26,235.89632834850903,176.70726786868673,59.1890603186379,2.459116220474243
27,236.02550925671216,176.7221318634463,59.30337782309089,2.475123167037964
28,234.0968253981899,174.47670864051497,59.62011713377187,2.481156349182129
29,233.86335281586983,174.0944521192094,59.76890010565099,2.4380104541778564
30,232.69321753273547,172.83821062974528,59.85500663434956,2.4026055335998535
