epoch,train_loss,train_recon,train_kld,val_fid
1,508.1677388277921,486.2481583681974,21.91957969976515,3.076683282852173
2,312.9316714893688,278.6913323835893,34.24034094810486,2.981257200241089
3,284.93544006347656,246.51075952703303,38.42467960444364,2.9686646461486816
4,271.06216343966395,229.00802369551226,42.05414019931447,2.843059539794922
5,260.6099328994751,216.49260061437434,44.11733180826361,2.4276845455169678
6,252.40090560913086,207.19287586212158,45.208029985427856,2.4649553298950195
7,248.88113056529653,203.1889683116566,45.6921622319655,2.5327258110046387
8,246.41909712011164,199.95031894337046,46.46877822009,2.5832951068878174
9,244.05421967939898,197.28783442757347,46.766386075453326,2.598442554473877
10,242.82324582880193,195.99581519040194,46.827430811795324,2.6397666931152344
11,241.92643729123202,195.04311214793813,46.88332568515431,2.636030435562134
12,241.27518454465,194.39270687103271,46.882477500221945,2.611006259918213
13,240.86791229248047,193.91286425157026,46.955047759142786,2.691730499267578
14,239.64781188964844,192.6543386632746,46.99347318302501,2.6748740673065186
15,238.83291886069557,191.77746495333585,47.055453300476074,2.677882432937622
16,238.78397039933637,191.71489542180842,47.06907506422563,2.676999568939209
17,237.57033218036997,190.40411914478648,47.166213035583496,2.6568243503570557
18,237.11456489562988,189.9361373727972,47.1784271326932,2.715961456298828
19,236.5816804712469,189.30007475072688,47.28160533038053,2.7081363201141357
20,236.47227824818003,189.2236153862693,47.248662731864236,2.6740477085113525
21,235.51877732710406,188.24249640378085,47.27628101002086,2.6712234020233154
22,235.11140277168968,187.68999047712848,47.421412056142636,2.6658217906951904
23,234.75112784992564,187.28703351454303,47.46409418366172,2.6629886627197266
24,234.34923692183062,186.84913513877174,47.50010219487277,2.5989837646484375
25,233.86382683840665,186.2704396681352,47.59338805892251,2.6280410289764404
26,233.08390400626442,185.44151652943003,47.642387650229715,2.6276943683624268
27,233.20982482216576,185.5102183602073,47.69960672205145,2.5679588317871094
28,232.50425936959007,184.77185864882037,47.73240035230463,2.5917136669158936
29,232.05542928522283,184.22950822656804,47.82592131874778,2.537628650665283
30,231.80588618191805,183.95941144769841,47.84647421403365,2.5336387157440186
31,231.316575050354,183.37351564927533,47.943058707497336,2.478072166442871
32,230.7319430437955,182.76309152082965,47.96885217319835,2.558943510055542
33,230.7594659978693,182.66738189350474,48.09208375757391,2.502432346343994
34,230.648887460882,182.55297903581098,48.095907319675796,2.4554433822631836
35,230.0350314920599,181.8275170759721,48.207513852552935,2.4835712909698486
36,229.48522125590932,181.35809820348567,48.12712348591197,2.456622362136841
37,229.1739905097268,180.9201453815807,48.2538446079601,2.4357426166534424
38,229.11172407323664,180.8097003589977,48.30202401768077,2.4560186862945557
39,228.71187487515536,180.4179928519509,48.2938824783672,2.4889612197875977
40,228.60277409987017,180.2035577947443,48.39921613173051,2.4752631187438965
41,228.3305047642101,179.90671955455434,48.42378516630693,2.427237033843994
42,227.84358804876155,179.40499114990234,48.438596812161535,2.4219536781311035
43,227.54734195362437,179.1173684380271,48.42997360229492,2.4350550174713135
44,227.2997736497359,178.72601725838402,48.57375660809603,2.4511661529541016
45,227.0564243143255,178.41532941298053,48.64109444618225,2.390073299407959
46,226.83161380074242,178.176775672219,48.65483860536055,2.3820717334747314
47,226.96796157143334,178.23764471574262,48.730317245830186,2.413647174835205
48,226.49126425656405,177.75500366904518,48.736260110681705,2.43337345123291
49,226.3353147506714,177.5935078534213,48.741807048971005,2.4656848907470703
50,226.268047506159,177.46553776480934,48.80251017483798,2.430931329727173
51,226.10798142173073,177.23086088353938,48.87712097167969,2.4026412963867188
52,225.5951179157604,176.76429471102628,48.830823161385275,2.3991081714630127
53,225.56027577140114,176.66040455211294,48.89987069910223,2.3660740852355957
54,225.4498486952348,176.46722594174472,48.982623208652846,2.432873249053955
55,225.18732582439077,176.17906050248578,49.00826506181197,2.3959107398986816
56,224.81328799507835,175.8873425397006,48.92594534700567,2.3828513622283936
57,224.94815731048584,175.87304522774437,49.0751119743694,2.365946054458618
58,224.58966012434527,175.50134970925072,49.088309894908555,2.375117301940918
59,224.41434652155095,175.316256869923,49.09808967330239,2.366358757019043
60,224.12152047590777,174.97059787403452,49.1509221683849,2.385078191757202
61,224.07128914919767,174.95062134482643,49.12066704576666,2.3825671672821045
62,223.97071144797584,174.84910089319402,49.12161018631675,2.369459629058838
63,223.81126135045832,174.63171274011785,49.17954815517772,2.3640806674957275
