config,config_label_full,lr,z,bs,seed,best_epoch,best_fid,timestamp,source_folder,source_file,line_no,best_source,run_id_raw,run_id,lr_raw,config_display_label
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,42,98,122.73,2026-06-01 18:28:57.714,100,100\training (1).log,267,minimum epoch FID,,,,z=100
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,142,73,134.12,2026-06-01 14:45:51.435,100,100\training.log,102,minimum epoch FID,,,,z=100
lr=0.001_z=100_bs=64,"LR=0.001, z=100, batch size=64",0.001,100,64,242,97,121.03,2026-06-01 16:20:08.798,100,100\training (1).log,133,minimum epoch FID,,,,z=100
lr=0.001_z=256_bs=64,"LR=0.001, z=256, batch size=64",0.001,256,64,42,67,130.3,2026-06-05 13:21:27.637,256,256\training (2).log,99,minimum epoch FID,,,,z=256
lr=0.001_z=256_bs=64,"LR=0.001, z=256, batch size=64",0.001,256,64,142,87,130.48,2026-06-08 10:15:33.753,256,256\training.log,120,minimum epoch FID,,,,z=256
lr=0.001_z=256_bs=64,"LR=0.001, z=256, batch size=64",0.001,256,64,242,75,134.41,2026-06-08 12:31:50.429,256,256\training.log,241,minimum epoch FID,,,,z=256
lr=0.001_z=64_bs=64,"LR=0.001, z=64, batch size=64",0.001,64,64,42,79,125.95,2026-06-05 15:40:58.070,64,64\training.log,109,minimum epoch FID,,,,z=64
lr=0.001_z=64_bs=64,"LR=0.001, z=64, batch size=64",0.001,64,64,142,99,113.85,2026-06-05 18:47:46.358,64,64\training.log,265,minimum epoch FID,,,,z=64
lr=0.001_z=64_bs=64,"LR=0.001, z=64, batch size=64",0.001,64,64,242,99,130.06,2026-06-05 21:19:58.520,64,64\training.log,399,minimum epoch FID,,,,z=64
