seed,lr,latent_dim,batch_size,epoch,loss_G,loss_D,FID
142,0.001,100,64,87,8.086893336895185,0.03437516067284518,145.472412109375
142,0.001,100,64,88,8.391464853898073,0.25936838052569866,147.16236877441406
142,0.001,100,64,89,7.9931842646537685,0.056503881668994345,150.31549072265625
142,0.001,100,64,90,8.226921029579945,0.03948437697880973,145.32687377929688
142,0.001,100,64,91,8.056932842502228,0.3090945548267486,147.6071014404297
142,0.001,100,64,92,7.60716635065201,0.2057951492472337,156.3524627685547
142,0.001,100,64,93,7.809002235913888,0.045161236387987934,148.0047149658203
142,0.001,100,64,94,8.310110400884579,0.043598993988827064,144.66705322265625
142,0.001,100,64,95,8.923579333684383,0.11455450545793447,143.73660278320312
142,0.001,100,64,96,8.678198650861399,0.049263172511321805,139.81036376953125
142,0.001,100,64,97,8.998544104588337,0.06933837986658685,138.09881591796875
142,0.001,100,64,98,8.850790217518806,0.1917995607244591,153.9706268310547
142,0.001,100,64,99,8.301816063049513,0.041689155074075245,146.8788604736328
142,0.001,100,64,100,9.031175679121262,0.048646166208737456,143.6779327392578
